"Jahr","Datum","Index","Meta","Type","Content"
"1987",1987-05-01,"109.2",NA,NA,NA
"1987",1987-06-01,"109.5",NA,NA,NA
"1987",1987-07-01,"109.6",NA,NA,NA
"1987",1987-08-01,"110",NA,NA,NA
"1987",1987-09-01,"109.7",NA,NA,NA
"1987",1987-10-01,"110.2",NA,NA,NA
"1987",1987-11-01,"110.6",NA,NA,NA
"1987",1987-12-01,"110.6",NA,NA,NA
"1988",1988-01-01,"110.9",NA,NA,NA
"1988",1988-02-01,"111.4",NA,NA,NA
"1988",1988-03-01,"111.7",NA,NA,NA
"1988",1988-04-01,"111.9",NA,NA,NA
"1988",1988-05-01,"111.6",NA,NA,NA
"1988",1988-06-01,"111.8",NA,NA,NA
"1988",1988-07-01,"111.5",NA,NA,NA
"1988",1988-08-01,"111.9",NA,NA,NA
"1988",1988-09-01,"112",NA,NA,NA
"1988",1988-10-01,"112.1",NA,NA,NA
"1988",1988-11-01,"112.5",NA,NA,NA
"1988",1988-12-01,"112.8",NA,NA,NA
"1989",1989-01-01,"113.4",NA,NA,NA
"1989",1989-02-01,"113.9",NA,NA,NA
"1989",1989-03-01,"114.2",NA,NA,NA
"1989",1989-04-01,"114.8",NA,NA,NA
"1989",1989-05-01,"114.9",NA,NA,NA
"1989",1989-06-01,"115.1",NA,NA,NA
"1989",1989-07-01,"114.9",NA,NA,NA
"1989",1989-08-01,"115.3",NA,NA,NA
"1989",1989-09-01,"115.8",NA,NA,NA
"1989",1989-10-01,"116.2",NA,NA,NA
"1989",1989-11-01,"117.6",NA,NA,NA
"1989",1989-12-01,"118.4",NA,NA,NA
"1990",1990-01-01,"119.1",NA,NA,NA
"1990",1990-02-01,"119.5",NA,NA,NA
"1990",1990-03-01,"119.9",NA,NA,NA
"1990",1990-04-01,"120.2",NA,NA,NA
"1990",1990-05-01,"120.7",NA,NA,NA
"1990",1990-06-01,"120.9",NA,NA,NA
"1990",1990-07-01,"121",NA,NA,NA
"1990",1990-08-01,"122.3",NA,NA,NA
"1990",1990-09-01,"122.8",NA,NA,NA
"1990",1990-10-01,"123.6",NA,NA,NA
"1990",1990-11-01,"124.7",NA,NA,NA
"1990",1990-12-01,"124.7",NA,NA,NA
"1991",1991-01-01,"125.7",NA,NA,NA
"1991",1991-02-01,"126.9",NA,NA,NA
"1991",1991-03-01,"126.9",NA,NA,NA
"1991",1991-04-01,"127.2",NA,NA,NA
"1991",1991-05-01,"128.3",NA,NA,NA
"1991",1991-06-01,"128.8",NA,NA,NA
"1991",1991-07-01,"128.9",NA,NA,NA
"1991",1991-08-01,"129.6",NA,NA,NA
"1991",1991-09-01,"129.8",NA,NA,NA
"1991",1991-10-01,"129.9",NA,NA,NA
"1991",1991-11-01,"131.5",NA,NA,NA
"1991",1991-12-01,"131.2",NA,NA,NA
"1992",1992-01-01,"131.8",NA,NA,NA
"1992",1992-02-01,"132.7",NA,NA,NA
"1992",1992-03-01,"133.1",NA,NA,NA
"1992",1992-04-01,"133.3",NA,NA,NA
"1992",1992-05-01,"133.7",NA,NA,NA
"1992",1992-06-01,"134.2",NA,NA,NA
"1992",1992-07-01,"133.8",NA,NA,NA
"1992",1992-08-01,"134.2",NA,NA,NA
"1992",1992-09-01,"134.3",NA,NA,NA
"1992",1992-10-01,"134.5",NA,NA,NA
"1992",1992-11-01,"135.8",NA,NA,NA
"1992",1992-12-01,"135.7",NA,NA,NA
"1993",1993-01-01,"136.4",NA,NA,NA
"1993",1993-02-01,"137.2",NA,NA,NA
"1993",1993-03-01,"138",NA,NA,NA
"1993",1993-04-01,"138.4",NA,NA,NA
"1993",1993-05-01,"138.5",NA,NA,NA
"1993",1993-06-01,"138.4",NA,NA,NA
"1993",1993-07-01,"138.3",NA,NA,NA
"1993",1993-08-01,"139",NA,NA,NA
"1993",1993-09-01,"138.9",NA,NA,NA
"1993",1993-10-01,"139",NA,NA,NA
"1993",1993-11-01,"138.9",NA,NA,NA
"1993",1993-12-01,"139",NA,NA,NA
"1994",1994-01-01,"139.2",NA,NA,NA
"1994",1994-02-01,"139.8",NA,NA,NA
"1994",1994-03-01,"139.8",NA,NA,NA
"1994",1994-04-01,"139.8",NA,NA,NA
"1994",1994-05-01,"139",NA,NA,NA
"1994",1994-06-01,"139.2",NA,NA,NA
"1994",1994-07-01,"139.2",NA,NA,NA
"1994",1994-08-01,"139.7",NA,NA,NA
"1994",1994-09-01,"139.8",NA,NA,NA
"1994",1994-10-01,"139.7",NA,NA,NA
"1994",1994-11-01,"139.6",NA,NA,NA
"1994",1994-12-01,"139.6",NA,NA,NA
"1995",1995-01-01,"140.6",NA,NA,NA
"1995",1995-02-01,"141.9",NA,NA,NA
