"Woche","Altersklasse","Anzahl Fälle","Meta","Type","Content"
2020-09-14,"50 - 59 Jahre","0",NA,NA,NA
2020-09-14,"60 - 69 Jahre","0",NA,NA,NA
2020-09-14,"70 - 79 Jahre","0",NA,NA,NA
2020-09-14,"80+ Jahre","0",NA,NA,NA
2020-09-21,"0 - 9 Jahre","0",NA,NA,NA
2020-09-21,"10 - 19 Jahre","0",NA,NA,NA
2020-09-21,"20 - 29 Jahre","0",NA,NA,NA
2020-09-21,"30 - 39 Jahre","0",NA,NA,NA
2020-09-21,"40 - 49 Jahre","0",NA,NA,NA
2020-09-21,"50 - 59 Jahre","0",NA,NA,NA
2020-09-21,"60 - 69 Jahre","0",NA,NA,NA
2020-09-21,"70 - 79 Jahre","0",NA,NA,NA
2020-09-21,"80+ Jahre","0",NA,NA,NA
2020-09-28,"0 - 9 Jahre","0",NA,NA,NA
2020-09-28,"10 - 19 Jahre","0",NA,NA,NA
2020-09-28,"20 - 29 Jahre","0",NA,NA,NA
2020-09-28,"30 - 39 Jahre","0",NA,NA,NA
2020-09-28,"40 - 49 Jahre","0",NA,NA,NA
2020-09-28,"50 - 59 Jahre","0",NA,NA,NA
2020-09-28,"60 - 69 Jahre","0",NA,NA,NA
2020-09-28,"70 - 79 Jahre","0",NA,NA,NA
2020-09-28,"80+ Jahre","0",NA,NA,NA
2020-10-05,"0 - 9 Jahre","0",NA,NA,NA
2020-10-05,"10 - 19 Jahre","0",NA,NA,NA
2020-10-05,"20 - 29 Jahre","0",NA,NA,NA
2020-10-05,"30 - 39 Jahre","0",NA,NA,NA
2020-10-05,"40 - 49 Jahre","0",NA,NA,NA
2020-10-05,"50 - 59 Jahre","0",NA,NA,NA
2020-10-05,"60 - 69 Jahre","0",NA,NA,NA
2020-10-05,"70 - 79 Jahre","0",NA,NA,NA
2020-10-05,"80+ Jahre","0",NA,NA,NA
2020-10-12,"0 - 9 Jahre","0",NA,NA,NA
2020-10-12,"10 - 19 Jahre","0",NA,NA,NA
2020-10-12,"20 - 29 Jahre","0",NA,NA,NA
2020-10-12,"30 - 39 Jahre","0",NA,NA,NA
2020-10-12,"40 - 49 Jahre","0",NA,NA,NA
2020-10-12,"50 - 59 Jahre","0",NA,NA,NA
2020-10-12,"60 - 69 Jahre","0",NA,NA,NA
2020-10-12,"70 - 79 Jahre","0",NA,NA,NA
